origin,destination,demand,index
1,547,4989.13,1
9,555,6699.45,1
54,600,1259.87,1
57,603,1646.85,1
81,627,8352.05,1
115,661,4043.61,1
145,691,7191.34,1
155,701,4469.1,1
249,795,2428.98,1
272,818,579.33,1
288,834,5301.06,1
296,842,1250.26,1
300,846,408.64,1
329,875,664.71,1
378,924,189,1
390,389,131.7,1
391,715,511.6,1
394,584,558.9587031,1
398,399,7003.439929,1
400,401,2158.67629,1
412,411,4502.558049,1
417,926,371,1
432,431,5222.946282,1
440,439,6810.632332,1
445,885,70.45,1
448,665,1137.76,1
465,464,1746.31,1
488,680,2724.777559,1
489,630,1844.34,1
500,566,5916.654472,1
505,634,5125.241636,1
510,509,6281.032151,1
519,521,2529.225019,1
527,543,3755.470007,1
528,526,4056.710007,1
550,549,3536.95,1
550,551,5992.772126,1
553,7,8530.26,1
575,530,3226.08,1
578,645,1382.695053,1
578,580,1165.92,1
584,586,1846.8,1
584,395,1772.880014,1
589,43,6471.88,1
589,591,5381.832072,1
590,401,5796.153343,1
590,592,5173.995074,1
590,44,6938.15,1
600,602,3261.139541,1
603,718,912.1275545,1
625,622,1125.42,1
637,572,2741.943852,1
649,642,1875.042807,1
651,105,868.62,1
656,660,2953.687846,1
667,666,1489.75,1
667,509,1966.45,1
670,519,1071.24,1
671,676,2728.909927,1
677,675,2931.323517,1
680,611,4159.732883,1
692,407,2979.47,1
696,150,1294.27,1
698,697,2296.95,1
719,723,897.1282396,1
722,724,1230.674547,1
733,415,634,1
739,740,710.47,1
740,739,1310.803357,1
742,196,603.43,1
742,748,1305.918771,1
743,922,579.3179622,1
743,751,1039.57,1
755,756,4753.291931,1
763,765,3278.197585,1
769,774,498.33,1
770,768,315.98,1
774,769,532.3379703,1
775,776,2134.602498,1
796,800,722.06,1
802,388,761.33,1
806,808,1043.75,1
823,828,1057.65,1
844,848,196.3212733,1
849,851,95.68127332,1
849,853,212.68,1
849,859,57.8,1
852,853,205.59,1
852,850,290.66,1
856,855,160.34,1
859,849,229.6,1
863,862,163.61,1
868,866,611.09,1
878,877,351.8,1
880,879,18.26,1
889,343,75.4,1
896,800,29.66,1
905,670,716.91,1
913,367,1397.63,1
926,380,371,1
