origin,destination,demand,index
1,547,3492.391,1
9,555,4689.615,1
30,576,3791.879,1
54,600,881.909,1
57,603,1152.795,1
91,637,4955.454,1
143,689,2851.975,1
249,795,1700.286,1
272,818,405.531,1
279,825,950.376,1
296,842,875.182,1
300,846,286.048,1
324,870,141.687,1
378,924,132.3,1
390,389,92.19,1
394,584,391.2710922,1
400,401,1511.073403,1
410,690,1124.859948,1
412,411,3151.790634,1
417,926,259.7,1
423,424,4404.125523,1
431,593,1887.55,1
431,597,367.486,1
440,439,4767.442633,1
448,665,796.432,1
452,525,3755.246492,1
453,454,1566.516,1
458,457,1837.801399,1
462,461,1438.955,1
464,884,200.125,1
465,464,1222.417,1
475,706,1023.639913,1
490,489,4512.693314,1
496,495,8313.441438,1
500,566,4141.65813,1
503,633,3375.101865,1
505,504,5313.095531,1
510,509,4396.722506,1
512,661,1483.775293,1
519,521,1770.457513,1
527,543,2628.829005,1
550,551,4194.940488,1
553,7,5971.182,1
553,550,2176.188002,1
575,530,2258.256,1
578,645,967.8865374,1
584,395,1241.01601,1
589,591,3767.282451,1
589,43,4530.316,1
590,44,4856.705,1
590,401,4057.30734,1
590,776,898.4149787,1
600,602,2282.797678,1
603,718,638.4892882,1
616,620,1045.076542,1
628,82,4632.068,1
637,572,1919.360696,1
649,642,1312.529965,1
656,660,2067.581492,1
657,525,1537.307698,1
660,114,1070.461,1
660,582,2269.193204,1
661,115,2995.51,1
667,509,1376.515,1
670,519,749.868,1
687,141,2990.295,1
688,687,3678.11786,1
697,809,800.065,1
698,697,1607.865,1
706,475,525.2243784,1
708,709,290.696,1
715,169,157.024,1
719,718,551.2215205,1
722,724,861.4721826,1
747,749,955.1289572,1
748,746,913.647,1
755,756,3327.304352,1
770,768,221.186,1
770,761,335.5864157,1
780,785,197.344,1
797,251,105.602,1
801,802,314.328,1
802,388,532.931,1
806,808,730.625,1
808,262,530.033,1
822,816,1190.105,1
829,834,821.436,1
843,848,310.472,1
849,851,66.97689133,1
849,859,400.46,1
849,447,541.0956141,1
852,853,143.913,1
852,850,203.462,1
872,830,171.197,1
876,462,97.608,1
889,343,252.78,1
901,932,200.762,1
905,670,501.837,1
913,708,108.409,1
926,380,259.7,1
